texto,label
estoy feliz con la compra realizada.,positivo
El empaque y presentación fueron impecables. Águila-Porcel me convenció.,positivo
Buen precio y excelente servicio.,positivo
"Recomendaría este servicio sin duda. Perelló, Conesa and Bonet me convenció.",positivo
Excelenteatenciónyentregarápida.Ballester-Mercadermeconvenció.,positivo
Estoy feliz con la compra realizada.,positivo
Estoy feliz con la compra realizada.!!!,positivo
Recomendaría este servicio sin duda. Bru and Sons me convenció.,positivo
"La experiencia fue muy positiva. Lorenzo, Rebollo and Mariño me convenció.",positivo
recomendaría este servicio sin duda.,negativo
Todo llegó a tiempo y en buen estado.!!!,positivo
"Estoy feliz con la compra realizada. Leon, Gargallo and Nebot me convenció.",positivo
La experiencia fue muy positiva.,positivo
"Muy útil y práctico, justo lo que necesitaba. Cabo, Zapata and Soto me convenció.",positivo
El empaque y presentación fueron impecables. Escrivá-Menéndez me convenció.,positivo
buen precio y excelente servicio.,positivo
"Superó mis expectativas, muy satisfecho. Sanz PLC me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Cano Group me convenció.",positivo
"Muy útil y práctico, justo lo que necesitaba. Vilar-Bernal me convenció.",positivo
Excelente atención y entrega rápida. Castañeda-Beltrán me convenció.,positivo
Todollegóatiempoyenbuenestado.MansoIncmeconvenció.,positivo
"Producto de buena calidad, funciona perfectamente. Olivé, Benavente and Bernal me convenció.",positivo
"Excelente atención y entrega rápida. Macías, Lara and Merino me convenció.",positivo
producto de buena calidad funciona perfectamente.,positivo
"La experiencia fue muy positiva. Alcolea, Rozas and Zaragoza me convenció.",positivo
"Producto de buena calidad, funciona perfectamente.",positivo
"Muy útil y práctico, justo lo que necesitaba. Lozano Group me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Ramírez-Parra me convenció.",positivo
"Producto de buena calidad, funciona perfectamente.!!!",positivo
Buenprecioyexcelenteservicio.VerdejoIncmeconvenció.,positivo
"Todo llegó a tiempo y en buen estado. Luque, Rosselló and Rodríguez me convenció.",negativo
Excelente atención y entrega rápida.,positivo
"Producto de buena calidad, funciona perfectamente. Valverde, Giralt and Leon me convenció.",positivo
Todo llegó a tiempo y en buen estado.,positivo
Todollegóatiempoyenbuenestado.OsorioLLCmeconvenció.,positivo
excelente atención y entrega rápida.,positivo
Estoy feliz con la compra realizada. Godoy and Sons me convenció.,positivo
la experiencia fue muy positiva.,positivo
"recomendaría este servicio sin duda. gras, sierra and vazquez me convenció.",positivo
"estoy feliz con la compra realizada. puig, leal and becerra me convenció.",positivo
"Buen precio y excelente servicio. Blanca, Benavente and Ibáñez me convenció.",positivo
"Superó mis expectativas, muy satisfecho. Torrent-Nieto me convenció.",positivo
"Todo llegó a tiempo y en buen estado. Ricart, Girón and Varela me convenció.",positivo
estoy feliz con la compra realizada. santos inc me convenció.,positivo
"Todo llegó a tiempo y en buen estado. Mir, Monreal and Torrens me convenció.",positivo
Excelente atención y entrega rápida. Gallo and Sons me convenció.,negativo
El empaque y presentación fueron impecables.!!!,positivo
la experiencia fue muy positiva. santamaria llc me convenció.,positivo
"Muy útil y práctico, justo lo que necesitaba. Lumbreras-Español me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Amorós and Sons me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Blazquez, Villanueva and Sandoval me convenció.",positivo
"Excelente atención y entrega rápida. Roig, Pablo and Echeverría me convenció.",positivo
"El empaque y presentación fueron impecables. Verdú, Anguita and Coll me convenció.",positivo
Excelente atención y entrega rápida.!!!,positivo
recomendaría este servicio sin duda. campillo plc me convenció.,positivo
"El empaque y presentación fueron impecables. Burgos, Hervás and Gomila me convenció.",positivo
Excelente atención y entrega rápida. Escolano-Valle me convenció.,positivo
"Muy útil y práctico, justo lo que necesitaba.",positivo
"Buen precio y excelente servicio. Arcos, Iñiguez and Menendez me convenció.",positivo
"Estoy feliz con la compra realizada. Ferreras, Moraleda and Jiménez me convenció.",positivo
